Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
MFT,MFT,MFT,MFT,Mini 3.5% Fuel Oil Barges FOB Rdam (Platts) (Euro Denominated) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
MFE,MFE,MFE,MFE,Mini 1% Fuel Oil Cargoes FOB NWE (Platts) (Euro Denominated) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
MAE,MAE,MAE,MAE,Mini Argus Propane Far East Index Futures,Energy,Petrochemicals,LPG,Financial,Futures,NYMEX,0,0
MAS,MAS,MAS,MAS,Mini Argus Propane (Saudi Aramco) Futures,Energy,Petrochemicals,LPG,Financial,Futures,NYMEX,0,0
RU1,6R1,6R1,-,Russian Ruble Weekly Options Wk 1,FX,Emerging Market,-,-,Options,CME,0,0
RU3,6R3,6R3,-,Russian Ruble Weekly Options Wk 3,FX,Emerging Market,-,-,Options,CME,0,0
RU4,6R4,6R4,-,Russian Ruble Weekly Options Wk 4,FX,Emerging Market,-,-,Options,CME,0,0
RU5,6R5,6R5,-,Russian Ruble Weekly Options Wk 5,FX,Emerging Market,-,-,Options,CME,0,0
X4,X4,X4,X4,Transco Zone 1 Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
X8,X8,X8,X8,"Texas Eastern, WLA Natural Gas (Platts Gas Daily) Swing Futures",Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
YE,YE,YE,YE,Ethanol T2 FOB Rdam Including Duty (Argus) Futures,Energy,Ethanol,European,Outrights,Futures,NYMEX,0,0
C12,C12,C12,C12,Crude Oil Short-Term Options D12,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
EVC,EVC,EVC,EVC,Singapore Fuel Oil 380 cst (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,Asian,Spreads,Futures,NYMEX,0,0
AA,-,AA,-,Spot Butter Futures,Agriculture,Dairy Spot Markets,-,-,Futures,CME,0,0
L7,L7,L7,L7,Transco Zone 2 Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
RN1,RN1,RN1,-,Chinese Renminbi/JPY Options Wk 1,FX,Emerging Market,-,-,Options,CME,0,0
VB3,VB3,VB3,-,British Pound Weekly Volatility Options (American) Wk 3,FX,G10,-,-,Options,CME,0,0
VBE,VBE,-,-,British Pound Weekly Volatility Options (European) Wk 5,FX,G10,-,-,Options,CME,0,0
8A,8AN,-,8A,"Florida Gas, Zone 2 Natural Gas (Platts IFERC) Basis Futures",Energy,Natural Gas,-,Basis,Futures,NYMEX,0,0
1A,A1A,1A,1A,Argus Biodiesel RME FOB Rdam Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
1G,A1G,1G,1G,Heating Oil BALMO Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
1H,1H,1H,1H,Heating Oil Crack Spread BALMO Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,0
1S,1S,1S,1S,Propane Non-LDH Mont Belvieu (OPIS) BALMO Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,0
25,25,25,25,PME Biodiesel FOB Rdam (Argus) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
2M,2M,2M,2M,Ethanol T1 FOB Rdam Excluding Duty (Platts) Futures,Energy,Ethanol,European,Outrights,Futures,NYMEX,0,0
2N,-,2N,2N,ERCOT Houston 345 kV Hub 50 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,0
2W,-,2W,2W,ERCOT Houston 345 kV Hub 50 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
3N,A3N,3N,3N,Mont Belvieu Physical LDH Propane (OPIS) Futures,Energy,Petrochemicals,NGL,Physical,Futures,NYMEX,0,0
3Q,A3Q,3Q,3Q,Mont Belvieu Physical Ethane (OPIS) Futures,Energy,Petrochemicals,NGL,Physical,Futures,NYMEX,0,0
3R,A3R,3R,3R,Mont Belvieu Physical Natural Gasoline (OPIS) Futures,Energy,Petrochemicals,NGL,Physical,Futures,NYMEX,0,0
FTD,FTL,FTD,FTD,MISO Indiana Hub Real-Time Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,MISO,Daily Off-Peak,Futures,NYMEX,0,0
FAD,FAL,FAD,FAD,MISO Indiana Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,MISO,Daily Off-Peak,Futures,NYMEX,0,0
AXP,XPP,AXP,AXP,Alberta Power Pool Extended Peak Calendar-Day Futures,Energy,Electricity,Canadian,Daily Peak,Futures,NYMEX,0,0
AFP,PFP,AFP,AFP,Alberta Power Pool Extended Off-Peak Calendar-Day Futures,Energy,Electricity,Canadian,Daily Off-Peak,Futures,NYMEX,0,0
ALP,LAP,ALP,ALP,Alberta Power Pool Peak Calendar-Day Futures,Energy,Electricity,Canadian,Daily Peak,Futures,NYMEX,0,0
ALF,LAF,ALF,ALF,Alberta Power Pool Off-Peak Calendar-Day Futures,Energy,Electricity,Canadian,Daily Off-Peak,Futures,NYMEX,0,0
AEX,PEX,AEX,AEX,Alberta Power Pool Extended Peak Calendar-Month Futures,Energy,Electricity,Canadian,Monthly Peak,Futures,NYMEX,0,0
AEF,FEF,AEF,AEF,Alberta Power Pool Extended Off-Peak Calendar-Month Futures,Energy,Electricity,Canadian,Monthly Off-Peak,Futures,NYMEX,0,0
UL3,UB3,UL3,-,Ultra U.S. Treasury Bond Weekly Options Wk 3,Interest Rate,US Treasury,-,-,Options,CBT,0,0
UL4,UB4,UL4,-,Ultra U.S. Treasury Bond Weekly Options Wk 4,Interest Rate,US Treasury,-,-,Options,CBT,0,0
UL5,UB5,UL5,-,Ultra U.S. Treasury Bond Weekly Options Wk 5,Interest Rate,US Treasury,-,-,Options,CBT,0,0
US4,ZB4,US4,-,U.S. Treasury Bond Weekly Options Wk 4,Interest Rate,US Treasury,-,-,Options,CBT,0,0
US5,ZB5,US5,-,U.S. Treasury Bond Weekly Options Wk 5,Interest Rate,US Treasury,-,-,Options,CBT,4852,0
TY3,ZN3,TY3,-,10 Yr Note Weekly Options Wk 3,Interest Rate,US Treasury,-,-,Options,CBT,0,0
TY4,ZN4,TY4,-,10 Yr Note Weekly Options Wk 4,Interest Rate,US Treasury,-,-,Options,CBT,0,0
TY2,ZF2,TY2,-,5 Yr Note Weekly Options Wk 2,Interest Rate,US Treasury,-,-,Options,CBT,0,0
TY5,ZF5,TY5,-,5 Yr Note Weekly Options Wk 5,Interest Rate,US Treasury,-,-,Options,CBT,100,0
SFB,SFB,SFB,SFB,Singapore Fuel Oil 380 cst (Platts) vs. European 3.5% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,Asian,Spreads,Futures,NYMEX,0,0
R0C,B0C,R0C,-,3rd contract back Lean Hog CSO,Agriculture,Livestock,-,-,Options,CME,0,0
SCX,12S,SCX,-,Soybean Nov-Nov CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
4D,A4D,4D,4D,Natural Gas Summer Strip Options,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
4G,4G,4G,4G,Premium Unleaded Gasoline 10 ppm Cargoes CIF NWE (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
4V,4V,4V,4V,Gasoil 0.1 Cargoes CIF NWE (Platts) vs. Gasoil BALMO Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
5I,5I,5I,5I,Rockies Natural Gas (Platts IFERC) Basis Option,Energy,Natural Gas,-,Basis,Options,NYMEX,0,0
6X,A6X,6X,6X,Jet Fuel Cargoes CIF NWE (Platts) vs. Gasoil BALMO Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
7U,-,7U,7U,Gulf Coast Heating Oil (Argus) vs. NY Harbor ULSD Heating Oil Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,0
8W,8W,8W,8W,Gasoil 0.1 Cargoes CIF MED (Platts) vs. Gasoil BALMO Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
9Q,9Q,9Q,9Q,Jet Fuel Barges FOB Rdam (Platts) vs. Gasoil BALMO Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
9U,A9U,9U,9U,NYISO Zone G 5 MW Peak Calendar-Month Day-Ahead LBMP Option,Energy,Electricity,NYISO,Monthly Peak,Options,NYMEX,0,0
A1,A1,A1,A1,Columbia Gas TCO (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
AJ,AJ,AJ,AJ,Gulf Coast ULSD (Argus) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
AF,AF,AF,AF,Gulf Coast Jet (Argus) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
B2,B2,B2,B2,Transco Zone 4 Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
VI,VI,VI,VI,Ventura Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
RD,RD,RD,RD,Gulf Coast No. 2 (Platts) Crack Spread Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,0
NVP,NVP,NVP,NVP,NY Ethanol (Platts) Average Price Options,Energy,Ethanol,North American,Outrights,Options,NYMEX,0,0
ERW,YRW,ERW,ERW,ERCOT North 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Peak,Futures,NYMEX,0,0
ERP,YRP,ERP,ERP,ERCOT North 345 kV Hub Day-Ahead 5 MW Off-Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Off-Peak,Futures,NYMEX,0,0
EUW,EUB,EUW,EUW,ERCOT South 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Peak,Futures,NYMEX,0,0
EUP,ENP,EUP,EUP,ERCOT South 345 kV Hub Day-Ahead 5 MW Off-Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Off-Peak,Futures,NYMEX,0,0
EWF,YWF,EWF,EWF,ERCOT West 345 kV Hub Day-Ahead 5 MW Off-Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Off-Peak,Futures,NYMEX,0,0
FRS,-,FRS,FRS,Freight Route TC12 (Baltic) Futures,Energy,Freight,Wet,-,Futures,NYMEX,0,0
PDD,PDL,PDD,PDD,MISO Indiana Hub Day-Ahead Peak Calendar-Day 5 MW Futures,Energy,Electricity,MISO,Daily Peak,Futures,NYMEX,0,0
EWE,YWE,EWE,EWE,ERCOT West 345 kV Hub Day-Ahead 5 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,0
EWK,YWK,EWK,EWK,ERCOT West 345 kV Hub Day-Ahead 5 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
C22,C22,C22,C22,Crude Oil Short-Term Options D22,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
U27,U27,U27,U27,Natural Gas Short-Term Options D27,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
EWW,EAW,EWW,EWW,ERCOT West 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Peak,Futures,NYMEX,0,0
EHF,YHF,EHF,EHF,ERCOT Houston 345 kV Hub Day-Ahead 5 MW Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Peak,Futures,NYMEX,0,0
I3,AI3,I3,I3,ERCOT Houston 345 kV Hub 5 MW Peak Calendar-Day Futures,Energy,Electricity,ERCOT,Daily Peak,Futures,NYMEX,0,0
UCM,UCM,UCM,UCM,Mini ULSD 10ppm Cargoes CIF MED (Platts) vs. Gasoil Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
0A,0A,0A,0A,Mini European 1% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
2E,C2E,2E,2E,CAISO SP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Real-Time LMP Futures,Energy,Electricity,Western Power,Monthly Off-Peak,Futures,NYMEX,0,0
2H,DHA,2H,2H,CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Day Real-Time LMP Futures,Energy,Electricity,Western Power,Daily Peak,Futures,NYMEX,0,0
2Y,-,2Y,2Y,ERCOT South 345 kV Hub 50 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
BHF,-,BHF,-,Florida Hurricane Seasonal Binary Options,Equities,US Index,-,-,Options,CME,0,0
F3,F3,F3,F3,Jet Fuel Cargoes CIF NWE (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
F4,AF4,F4,F4,PJM Eastern Hub Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,PJM,Monthly Off-Peak,Futures,NYMEX,0,0
EHE,YHE,EHE,EHE,ERCOT Houston 345 kV Hub Day-Ahead 5 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,0
U29,U29,U29,U29,Natural Gas Short-Term Options D29,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U30,U30,U30,U30,Natural Gas Short-Term Options D30,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
PY3,ZC3,PY3,-,Corn Weekly Options Wk 3,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
PY4,ZC4,PY4,-,Corn Weekly Options Wk 4,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
PY5,ZC5,PY5,-,Corn Weekly Options Wk 5,Agriculture,Grain And Oilseed,-,-,Options,CBT,5678,0
CZ2,ZS2,CZ2,-,Soybean Weekly Options Wk 2,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
CZ3,ZS3,CZ3,-,Soybean Weekly Options Wk 3,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
CZ4,ZS4,CZ4,-,Soybean Weekly Options Wk 4,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
WZ1,ZW1,WZ1,-,Wheat Weekly Options Wk 1,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
WZ4,ZW4,WZ4,-,Wheat Weekly Options Wk 4,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
MTB,MTB,MTB,MTB,Mini Singapore Fuel Oil 380 cst (Platts) BALMO Futures,Energy,Refined Products,Asian,Outrights,Futures,NYMEX,0,0
FF1,ZQ1,FF1,-,30 Day Federal Funds 12 Month Midcurve Options,Interest Rate,Stirs,-,-,Options,CBT,0,0
FF6,ZQ6,FF6,-,30 Day Federal Funds 6 Month Midcurve Options,Interest Rate,Stirs,-,-,Options,CBT,0,0
59,A59,59,59,Brent CFD (Platts) vs. Brent Third Month (Platts) Futures,Energy,Crude Oil,-,Spreads,Futures,NYMEX,0,0
5N,A5N,5N,5N,Texas Eastern Zone M-3 Natural Gas (Platts IFERC) Basis Option,Energy,Natural Gas,-,Basis,Options,NYMEX,0,0
5X,DAX,5X,5X,CAISO SP15 EZ Gen Hub 5 MW Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,Western Power,Daily Off-Peak,Futures,NYMEX,0,0
6E,A6E,6E,6E,Crude Oil Quarterly Strip Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
6L,A6L,6L,6L,European 1% Fuel Oil Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
K6,AK6,K6,K6,"ANR, Louisiana Natural Gas (Platts Gas Daily) Swing Futures",Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
N0,-,N0,N0,Panamax Timecharter Average (Baltic) BALMO Futures,Energy,Freight,Dry,-,Futures,NYMEX,0,0
N5,N5,N5,N5,SoCal City-Gate Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
NFC,NFC,NFC,NFC,NY 1% Fuel Oil (Platts) Crack Spread BALMO Futures,Energy,Refined Products,North American,Crack Spreads,Futures,NYMEX,0,0
88,88,88,88,Northwest Europe Fuel Oil High-Low Sulfur Spread (Platts) BALMO Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
C3,NCN,C3,C3,"Florida Gas, Zone 2 Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures",Energy,Natural Gas,-,Index,Futures,NYMEX,0,0
CBA,CBA,CBA,CBA,Gulf Coast CBOB Gasoline A1 (Platts) vs. RBOB Gasoline Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,0
CBO,CBO,CBO,CBO,Gulf Coast CBOB Gasoline A1 (Platts) Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
DAP,DAP,DAP,DAP,EIA Flat Tax On-Highway Diesel Average Price Options,Energy,Refined Products,North American,Outrights,Options,NYMEX,0,0
DMO,DMQ,DMO,DMO,Dow Jones Mead/Marketplace Electricity Price Index 5 MW Off-Peak Futures,Energy,Electricity,Western Power,Daily Off-Peak,Futures,NYMEX,0,0
F8,F8,F8,F8,European-Style Gasoil Options,Energy,Refined Products,European,Outrights,Options,NYMEX,0,0
FL,FL,FL,FL,3.5% Fuel Oil Cargoes FOB MED (Platts) Crack Spread Futures,Energy,Refined Products,European,Crack Spreads,Futures,NYMEX,0,0
FG,AFG,FG,FG,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) Average Price Options,Energy,Refined Products,North American,Outrights,Options,NYMEX,0,0
C3D,C3D,C3D,C3D,Daily Mont Belvieu LDH Propane (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,0
C5D,C5D,C5D,C5D,Daily Mont Belvieu Natural Gasoline (Non-LDH) (OPIS) Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,0
CVP,CVP,-,CVP,Crude Oil Volatility Index (VIX) Options,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
GVP,GVP,-,GVP,Gold Volatility Index (VIX) Options,Metals,Precious,-,-,Options,COMEX,0,0
MC6,AMC,MC6,MC6,"Indonesian Coal (McCloskey sub-bituminous 6,000 kcal basis) Futures",Energy,Coal,-,-,Futures,NYMEX,0,0
24,24,24,24,SME Biodiesel FOB Rdam (Argus) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
27,27,27,27,RBOB Gasoline Last Day Financial Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
2P,-,2P,2P,ERCOT North 345 kV Hub 50 MW Peak Futures,Energy,Electricity,ERCOT,Monthly Peak,Futures,NYMEX,0,0
3P,3P,3P,3P,Mont Belvieu Physical Non-LDH Propane (OPIS) Futures,Energy,Petrochemicals,NGL,Physical,Futures,NYMEX,0,0
7N,7N,7N,7N,Premium Unleaded Gasoline 10 ppm Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
8F,8FN,-,8F,Transco Zone 2 Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,0
CE,COL,CE,CE,ISO New England Mass Hub Day-Ahead Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,ISO-NE,Daily Peak,Futures,NYMEX,0,0
AD3,XA3,AD3,-,Australian Dollar/Euro Style Options Wk 3,FX,G10,-,-,Options,CME,0,0
RY,RYA,RY,RY,NY RBOB (Platts) Financial Futures,Energy,Refined Products,North American,Outrights,Futures,NYMEX,0,0
SL,SL,SL,SL,Permian Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
SR,KSR,SR,SR,Kern Opal Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
SY,SY,SY,SY,Waha Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
TA,TA,TA,TA,Questar Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,-,Basis,Futures,NYMEX,0,0
K06,K06,-,-,SGI WISE US Top Index Futures,Equities,Custom Index,-,-,Futures,CME,0,0
EMF,EMF,-,-,E-mini CNX Nifty Index Futures,Equities,International Index,-,-,Futures,CME,0,0
II,MNF,-,-,E-micro CNX Nifty Index Futures,Equities,International Index,-,-,Futures,CME,0,0
ERA,EAB,ERA,ERA,ERCOT South 345 kV Hub Day-Ahead 5 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
ERU,ERL,ERU,ERU,ERCOT North 345 kV Hub Day-Ahead 5 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
EWN,EWN,EWN,EWN,East-West Naphtha: Japan C&F vs. Cargoes CIF NWE Spread (Platts) Futures,Energy,Refined Products,Arb,Spreads,Futures,NYMEX,0,0
C18,C18,C18,C18,Crude Oil Short-Term Options D18,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
C19,C19,C19,C19,Crude Oil Short-Term Options D19,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
C20,C20,C20,C20,Crude Oil Short-Term Options D20,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
C24,C24,C24,C24,Crude Oil Short-Term Options D24,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
DO,ADO,DO,DO,Dow Jones Mid-Columbia Electricity Price Index Futures,Energy,Electricity,Western Power,Monthly Peak,Futures,NYMEX,0,0
SJ,SJ,SJ,SJ,San Juan Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
SM,SMN,SM,SM,Houston Ship Channel Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
SQ,NSQ,SQ,SQ,"ANR, Oklahoma Natural Gas (Platts Gas Daily) Swing Futures",Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
T2,TT2,T2,T2,TETCO STX Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
T8,T8,T8,T8,MichCon Natural Gas (Platts Gas Daily) Swing Futures,Energy,Natural Gas,-,Swing,Futures,NYMEX,0,0
UY,AUY,UY,UY,NY ULSD (Platts) vs. NY Harbor ULSD Heating Oil Futures,Energy,Refined Products,North American,Spreads,Futures,NYMEX,0,0
VD,VDL,VD,VD,PJM AEP Dayton Hub Real-Time Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Peak,Futures,NYMEX,0,0
9X,E9X,9X,9X,CAISO SP15 EZ Gen Hub 5 MW Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,Western Power,Monthly Peak,Futures,NYMEX,0,0
F0,-,F0,F0,Mini Panamax Timecharter Average (Baltic) Futures,Energy,Freight,Dry,-,Futures,NYMEX,0,0
I2,AI2,I2,I2,ERCOT Houston 345 kV Hub 5 MW Off-Peak Futures,Energy,Electricity,ERCOT,Monthly Off-Peak,Futures,NYMEX,0,0
PFU,PFO,PFU,PFU,Panamax Timecharter Average (Baltic) Futures,Energy,Freight,Dry,-,Futures,NYMEX,0,0
TI,ATI,TI,TI,Freight Route TD5 (Baltic) Futures,Energy,Freight,Wet,-,Futures,NYMEX,0,0
U9,U9,U9,U9,Gasoil BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
UD,UDL,UD,UD,PJM Northern Illinois Hub Real-Time Peak Calendar-Day 2.5 MW Futures,Energy,Electricity,PJM,Daily Peak,Futures,NYMEX,0,0
C25,C25,C25,C25,Crude Oil Short-Term Options D25,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
C27,C27,C27,C27,Crude Oil Short-Term Options D27,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
C30,C30,C30,C30,Crude Oil Short-Term Options D30,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
C31,C31,C31,C31,Crude Oil Short-Term Options D31,Energy,Crude Oil,-,Outrights,Options,NYMEX,0,0
U02,U02,U02,U02,Natural Gas Short-Term Options D02,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U04,U04,U04,U04,Natural Gas Short-Term Options D04,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U05,U05,U05,U05,Natural Gas Short-Term Options D05,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U06,U06,U06,U06,Natural Gas Short-Term Options D06,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U08,U08,U08,U08,Natural Gas Short-Term Options D08,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U09,U09,U09,U09,Natural Gas Short-Term Options D09,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U10,U10,U10,U10,Natural Gas Short-Term Options D10,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U11,U11,U11,U11,Natural Gas Short-Term Options D11,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U13,U13,U13,U13,Natural Gas Short-Term Options D13,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U14,U14,U14,U14,Natural Gas Short-Term Options D14,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U15,U15,U15,U15,Natural Gas Short-Term Options D15,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U16,U16,U16,U16,Natural Gas Short-Term Options D16,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U18,U18,U18,U18,Natural Gas Short-Term Options D18,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U19,U19,U19,U19,Natural Gas Short-Term Options D19,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U20,U20,U20,U20,Natural Gas Short-Term Options D20,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U23,U23,U23,U23,Natural Gas Short-Term Options D23,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U24,U24,U24,U24,Natural Gas Short-Term Options D24,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
U26,U26,U26,U26,Natural Gas Short-Term Options D26,Energy,Natural Gas,-,Outrights,Options,NYMEX,0,0
GFL,GFL,GFL,GFL,Gasoil 50 ppm Barges FOB Rdam (Platts) BALMO Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
GFS,GFS,GFS,GFS,Gasoil 50 ppm Barges FOB Rdam (Platts) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
GRB,GRB,GRB,GRB,Gasoil 50 ppm Barges FOB Rdam (Platts) vs. Gasoil BALMO Futures,Energy,Refined Products,European,Spreads,Futures,NYMEX,0,0
SMU,SMU,SMU,SMU,Singapore Mogas 95 Unleaded (Platts) vs. Singapore Mogas 92 Unleaded (Platts) Futures,Energy,Refined Products,Asian,Spreads,Futures,NYMEX,0,0
AY,AY,AY,AY,WTS (Argus) Trade Month Futures,Energy,Crude Oil,-,Outrights,Futures,NYMEX,0,0
CFU,-,CFU,CFU,Capesize Timecharter Average (Baltic) Futures,Energy,Freight,Dry,-,Futures,NYMEX,0,0
CPB,CPB,CPB,CPB,Conway Propane (OPIS) BALMO Futures,Energy,Petrochemicals,NGL,Financial,Futures,NYMEX,0,0
