Clearing,Globex,Floor,ClearPort,Product Name,Product Group,Subgroup,Category,Sub-Category,Cleared As,Exchange,Volume,Open Interest
FXD,FXD,-,FXD,FX$Index Futures,FX,G10,-,-,Futures,CME,0,0
DDG,DDG,DDG,-,Distillers Dried Grain Futures,Agriculture,Grain And Oilseed,-,-,Futures,CBT,0,0
98,98N,98,98,Regional Greenhouse Gas Initiative CO2 Allowance Vintage 2009 Futures,Energy,Emissions,-,RGGI,Futures,NYMEX,0,0
86,86N,86,86,Regional Greenhouse Gas Initiative CO2 Allowance Vintage 2011 Futures,Energy,Emissions,-,RGGI,Futures,NYMEX,0,0
5K,A5K,5K,5K,Panhandle Natural Gas (Platts IFERC) Basis Option,Energy,Natural Gas,-,Basis,Options,NYMEX,0,0
AV,EUX,AV,AV,European Union Allowance (EUA) Options,Energy,Emissions,-,EU ETS,Options,NYMEX,0,0
VG,CCX,VG,VG,Certified Emission Reduction (CER) Options,Energy,Emissions,-,CDM,Options,NYMEX,0,0
6P,CRY,6P,CRY,In Delivery Month Certified Emission Reduction (CER) Options,Energy,Emissions,-,CDM,Options,NYMEX,0,0
OR,RGX,OR,OR,Regional Greenhouse Gas Initiative (RGGI) CO2 Allowance Options,Energy,Emissions,-,EU ETS,Options,NYMEX,0,0
9E,9E,9E,9E,In Delivery Month Certified Emission Reduction (CER) Serial Options,Energy,Emissions,-,CDM,Options,NYMEX,0,0
KSH,SZH,KSH,-,Soybean Mar-Jul CSO,Agriculture,Grain And Oilseed,-,-,Options,CBT,0,0
CO,CO,CO,CO,Climate Action Registry (CAR) - non Vintage Options,Energy,Emissions,-,CAR,Options,NYMEX,0,0
92,92X,92,92,Climate Action Registry (CAR) - Vintage 2009 Futures,Energy,Emissions,-,CAR,Futures,NYMEX,0,0
93,93X,93,93,Climate Action Registry (CAR) - Vintage 2010 Futures,Energy,Emissions,-,CAR,Futures,NYMEX,0,0
94,94X,94,94,Climate Action Registry (CAR) - Vintage 2011 Futures,Energy,Emissions,-,CAR,Futures,NYMEX,0,0
SMP,SMP,SMP,-,S&P 600 SmallCap Futures,Equities,US Index,-,-,Futures,CME,0,0
2D,XD2,2D,-,Canadian Dollar/Euro Style Options Wk 2,FX,G10,-,-,Options,CME,0,0
G0,-,G0,G0,Mini Supramax Timecharter Average (Baltic) Futures,Energy,Freight,Dry,-,Futures,NYMEX,0,0
RB3,RB3,RB3,-,Chinese Renminbi/USD Options Wk 3,FX,Emerging Market,-,-,Options,CME,0,0
VA2,VA2,VA2,-,Australian Dollar Weekly Volatility Options (American) Wk 2,FX,G10,-,-,Options,CME,0,0
VBC,VBC,VBC,-,British Pound Weekly Volatility Options (European) Wk 3,FX,G10,-,-,Options,CME,0,0
V6J,V6J,V6J,-,Japanese Yen Volatility Options (American),FX,G10,-,-,Options,CME,0,0
V6S,V6S,V6S,-,Swiss Franc Volatility Options (American),FX,G10,-,-,Options,CME,0,0
GB,-,-,GB,Cleared OTC London Gold Forwards (collateral margin),Metals,Precious,-,-,Futures,COMEX,0,0
XAF,XAF,XAF,-,E-mini Financial Sector Futures,Equities,Select Sector Index,-,-,Futures,CME,0,0
XAI,XAI,XAI,-,E-mini Industrial Sector Futures,Equities,Select Sector Index,-,-,Futures,CME,0,0
2L,A2L,2L,2L,FAME 0 Biodiesel FOB Rdam (Argus) Futures,Energy,Refined Products,European,Outrights,Futures,NYMEX,0,0
5F,5F,5F,5F,Houston Ship Channel Natural Gas (Platts IFERC) Basis Option,Energy,Natural Gas,-,Basis,Options,NYMEX,0,0
5O,A5O,5O,5O,"Waha, Texas Basis Swap Options",Energy,Natural Gas,-,Basis,Options,NYMEX,0,0
XAB,XAB,XAB,-,E-mini Materials Sector Futures,Equities,Select Sector Index,-,-,Futures,CME,0,0
